PROVNUM,emp_hrs_nurse,ctr_hrs_nurse,total_hrs_nurse,emp_ctr_ratio_nurse,emp_hrs_non,ctr_hrs_non,total_hrs_non,emp_ctr_ratio_non,emp_hrs,ctr_hrs,total_hrs
345000,1305.9230769230767,60.04384615384615,1365.9669230769227,21.74949075675468,138.82692307692307,178.61538461538458,317.4423076923076,0.7772394487510768,1444.7499999999998,238.65923076923073,1683.4092307692306
345001,2775.577692307692,181.87538461538463,2957.4530769230764,15.26087600131958,1185.1584615384616,6.538461538461538,1191.696923076923,181.2595294117647,3960.7361538461537,188.41384615384618,4149.15
345002,1604.2307692307693,0.0,1604.2307692307693,inf,630.7307692307693,36.63461538461539,667.3653846153846,17.216797900262467,2234.9615384615386,36.63461538461539,2271.596153846154
345003,1489.8846153846152,0.0,1489.8846153846152,inf,520.8269230769231,5.75,526.5769230769231,90.57859531772576,2010.7115384615383,5.75,2016.4615384615383
345004,1060.5384615384617,218.59615384615384,1279.1346153846155,4.8515879299727285,147.23076923076923,119.78076923076924,267.01153846153846,1.2291686735381946,1207.769230769231,338.37692307692305,1546.146153846154
345006,2203.6730769230767,453.5500000000001,2657.223076923077,4.858721369028941,207.84615384615384,339.57384615384615,547.42,0.6120793936291189,2411.5192307692305,793.1238461538462,3204.6430769230765
345008,1218.766923076923,324.4307692307691,1543.197692307692,3.756631733687406,160.05230769230772,177.43999999999997,337.4923076923077,0.9020080460567389,1378.8192307692307,501.87076923076904,1880.6899999999996
345009,2095.746923076923,0.0,2095.746923076923,inf,521.2169230769232,0.0,521.2169230769232,inf,2616.963846153846,0.0,2616.963846153846
345010,1080.7615384615383,332.67230769230764,1413.433846153846,3.248727091108367,114.63153846153845,154.56923076923076,269.2007692307692,0.7416193888723002,1195.3930769230767,487.2415384615384,1682.6346153846152
345011,761.7338461538461,990.5430769230765,1752.2769230769227,0.7690062793836484,148.25769230769228,206.42384615384614,354.6815384615384,0.7182197942247279,909.9915384615384,1196.9669230769225,2106.958461538461
345013,2536.4169230769226,1.25,2537.6669230769226,2029.1335384615381,203.06230769230766,191.8223076923077,394.88461538461536,1.0585958960416089,2739.47923076923,193.0723076923077,2932.551538461538
345014,1169.5100000000002,368.7207692307693,1538.2307692307695,3.1718039709014745,104.89461538461539,157.27769230769232,262.1723076923077,0.6669389272281755,1274.4046153846157,525.9984615384616,1800.4030769230772
345015,2124.346153846154,15.423076923076923,2139.769230769231,137.73815461346632,450.4307692307693,15.489230769230769,465.92,29.080254270957493,2574.776923076923,30.912307692307692,2605.689230769231
345024,2120.0192307692305,0.0,2120.0192307692305,inf,376.843076923077,25.999999999999996,402.843076923077,14.493964497041425,2496.8623076923077,25.999999999999996,2522.8623076923077
345026,2485.9000000000005,0.0,2485.9000000000005,inf,566.1784615384615,0.0,566.1784615384615,inf,3052.078461538462,0.0,3052.078461538462
345036,3041.35153846154,2.1153846153846154,3043.4669230769246,1437.7298181818187,259.07769230769236,811.7938461538461,1070.8715384615384,0.31914222254229013,3300.429230769232,813.9092307692307,4114.338461538463
345039,1827.6000000000004,1.723076923076923,1829.3230769230772,1060.6607142857147,458.3907692307693,0.0,458.3907692307693,inf,2285.9907692307697,1.723076923076923,2287.7138461538466
345044,1597.4699999999993,249.2376923076923,1846.7076923076916,6.409423812301508,73.85923076923078,317.6700000000001,391.5292307692308,0.2325030086858399,1671.3292307692302,566.9076923076924,2238.2369230769227
345045,1787.6384615384623,311.2384615384615,2098.876923076924,5.743629668075434,432.0053846153847,0.0,432.0053846153847,inf,2219.643846153847,311.2384615384615,2530.882307692308
345048,2076.956153846154,44.70538461538462,2121.6615384615384,46.458747010341206,556.0876923076929,322.65076923076913,878.738461538462,1.7234971843813054,2633.043846153847,367.35615384615375,3000.4000000000005
345049,1905.4423076923078,0.0,1905.4423076923078,inf,613.8653846153846,14.48076923076923,628.3461538461539,42.3917662682603,2519.3076923076924,14.48076923076923,2533.7884615384614
345050,1758.5146153846154,1092.3653846153848,2850.88,1.6098227206309523,220.3423076923077,262.4823076923077,482.8246153846154,0.8394558461083091,1978.856923076923,1354.8476923076923,3333.7046153846154
345051,1939.7046153846152,5.923076923076923,1945.627692307692,327.4825974025974,161.50230769230768,420.91615384615386,582.4184615384615,0.38369234874111596,2101.206923076923,426.83923076923077,2528.0461538461536
345053,1360.05,0.0,1360.05,inf,554.0961538461538,11.442307692307692,565.5384615384615,48.425210084033615,1914.1461538461538,11.442307692307692,1925.5884615384614
345054,2408.1153846153848,0.0,2408.1153846153848,inf,127.25000000000001,0.0,127.25000000000001,inf,2535.3653846153848,0.0,2535.3653846153848
345061,1568.5546153846153,0.0,1568.5546153846153,inf,507.3076923076923,0.0,507.3076923076923,inf,2075.8623076923077,0.0,2075.8623076923077
345063,958.6369230769233,474.97,1433.6069230769233,2.0183104681915136,141.93384615384616,146.78076923076924,288.7146153846154,0.9669784870162199,1100.5707692307694,621.7507692307693,1722.3215384615387
345066,2345.8769230769226,219.73846153846154,2565.6153846153843,10.675768395995236,146.61538461538458,257.61846153846164,404.23384615384623,0.569118314502066,2492.4923076923073,477.3569230769232,2969.8492307692304
345070,1915.7115384615388,77.46153846153845,1993.1730769230771,24.731132075471706,185.38461538461536,194.2115384615384,379.59615384615375,0.954549955441133,2101.0961538461543,271.67307692307685,2372.769230769231
345072,1705.0107692307693,0.0,1705.0107692307693,inf,164.21846153846155,285.63923076923083,449.8576923076924,0.5749156413011571,1869.2292307692308,285.63923076923083,2154.868461538462
345077,1617.3846153846152,0.0,1617.3846153846152,inf,723.4230769230769,11.384615384615385,734.8076923076923,63.54391891891891,2340.8076923076924,11.384615384615385,2352.1923076923076
345078,1542.1976923076923,54.13384615384615,1596.3315384615385,28.48860374570154,110.92538461538462,107.65,218.57538461538462,1.0304262388795598,1653.123076923077,161.78384615384616,1814.906923076923
345080,1383.3653846153845,405.26615384615377,1788.6315384615382,3.4134737665276007,292.0738461538462,4.977692307692307,297.0515384615385,58.67655694637615,1675.4392307692308,410.24384615384605,2085.683076923077
345081,1616.0653846153846,0.0,1616.0653846153846,inf,147.6438461538462,245.0415384615385,392.6853846153847,0.6025257884063614,1763.7092307692308,245.0415384615385,2008.7507692307693
345083,1690.9138461538462,39.15076923076923,1730.0646153846153,43.18979880540711,152.0730769230769,141.47615384615384,293.54923076923075,1.0749025386175437,1842.9869230769232,180.62692307692305,2023.6138461538462
345088,2843.4423076923076,0.0,2843.4423076923076,inf,190.9423076923077,232.6938461538461,423.6361538461538,0.8205730871200855,3034.3846153846152,232.6938461538461,3267.0784615384614
345089,1779.3384615384616,0.0,1779.3384615384616,inf,137.02999999999997,197.9292307692308,334.95923076923077,0.6923181556733562,1916.3684615384616,197.9292307692308,2114.297692307692
