county_from,county_to,distance
1,135,15.737401044717
3,135,115.46843412524
5,135,115.935296899295
7,135,93.5364367079752
9,135,135.070214234012
11,135,156.431553741837
13,135,133.806146082569
15,135,120.473451762404
17,135,106.732629117978
19,135,148.645887279125
21,135,193.604076824941
23,135,146.408398154581
25,135,92.9412434752558
27,135,134.926653543268
29,135,165.979990881774
31,135,167.940995244324
33,135,25.7478477150565
35,135,120.495896592084
37,135,25.7843769378689
39,135,284.885098282243
41,135,140.608186810256
43,135,269.56117251196
45,135,145.730721990983
47,135,127.461333246773
49,135,131.729827029412
51,135,71.8260944379591
53,135,178.438230815509
55,135,190.369091180684
57,135,63.568216978719
59,135,80.0863060865569
61,135,102.587234157739
63,135,13.6055139660666
65,135,85.3835115413059
67,135,63.7085953409629
69,135,46.7342571553306
71,135,127.135516294965
73,135,137.197744023428
75,135,268.885112875971
77,135,30.5296729206329
79,135,90.0241771113253
81,135,37.396709595039
83,135,83.2860344397449
85,135,49.9152114867885
87,135,218.70732326127
89,135,195.092918798734
91,135,120.969637214376
93,135,72.5491205154895
95,135,172.355224876279
97,135,99.7731654739533
99,135,231.420691899776
101,135,56.7111640586093
103,135,122.019979415827
105,135,40.6262431984499
107,135,100.757399095512
109,135,124.540787585672
111,135,166.05546340771
113,135,249.704473209385
115,135,201.410304894014
117,135,113.262590446773
119,135,111.534425575726
121,135,170.109337036544
123,135,66.6670341833592
125,135,55.7958718155089
127,135,63.6040667908604
129,135,148.109703081504
131,135,99.0627807592754
133,135,127.812959177861
137,135,151.670811427611
139,135,160.087006408103
141,135,127.63163884768
143,135,151.740942424966
145,135,23.9659187693599
147,135,103.141045831845
149,135,179.453461647494
151,135,45.5169439257833
153,135,81.3509940506195
155,135,98.3453058594488
157,135,43.0344221765807
159,135,83.9946893120958
161,135,163.529521058653
163,135,85.171404008189
165,135,86.8346579167594
167,135,82.1970560016192
169,135,66.7302634560202
171,135,90.6705589275794
173,135,245.867692525266
175,135,215.797063076496
177,135,165.718233587611
179,135,108.482274261698
181,135,44.9676866756611
183,135,32.2902431739545
185,135,61.3628553458304
187,135,143.245555502401
189,135,145.020792873787
191,135,79.037330181881
193,135,114.616676472414
195,135,71.6134608762786
197,135,86.5407900394345
199,135,178.459946117888
1,81,21.8631135141162
3,81,78.3949786952819
5,81,80.0229015567323
7,81,78.3938544769925
9,81,98.4212715113927
11,81,119.040421855511
13,81,170.228527459328
15,81,157.841953424224
17,81,124.555615962765
19,81,166.330724634457
21,81,156.945969754364
23,81,109.73845294916
25,81,64.1708679109162
27,81,97.6763543164028
29,81,202.956566863899
31,81,201.979096080141
33,81,33.4204597168518
35,81,84.8254376886543
37,81,39.6509122795033
39,81,248.671984585457
41,81,177.91312815377
43,81,233.756063767986
45,81,111.755421511882
47,81,141.503605964526
49,81,165.88762003842
51,81,89.2428956877731
53,81,215.385574105003
55,81,227.558795346587
57,81,30.5175365343902
59,81,43.3886228588377
61,81,130.923465204424
63,81,50.9556202735501
65,81,122.704862998686
67,81,26.4111847522057
69,81,84.0703236223513
71,81,94.9705943461658
73,81,173.758016704856
75,81,232.306166597937
77,81,64.8885102723412
79,81,125.098860053917
83,81,120.172179379882
85,81,71.1014469754414
87,81,181.995439349641
89,81,159.44869953104
